topic,st,class
g189 人文-博物馆-画廊,人文,2
g748 前值-失业率-年率,失业率,2
g170 烟-烟草-吸烟,烟,0
g410 高-低-水平,水平,2
g1312 永远-跟着-好事,跟着,2
g948 边际-护城河-内在价值,护城河,1
g1256 會-為-後,为,2
g911 汽车-长城-合资,汽车,0
g1214 神经网络-learning-deep,人工智能,0
g762 化工-新材料-焦化,新材料,0
g692 话题-明星-圈,明星,2
g898 走穴-少搞-少开,少开,1
g670 证券-券商-中信,券商,0
g88 情况-相关-年度,年度,1
g1009 內-中國-增長,增长,1
g1024 第十一-第十二-第十四,数字,2
g759 市-发改委-局,发改委,2
g501 胜利-战胜-敌人,胜利,2
g1038 外媒-路透社-新浪美股,外媒,2
g947 看着-笑-盯,看看,2
g102 分-分成-一分,分成,2
g1107 车型-suv-新车,车型,0
g885 女-男-男人,性别,2
g161 工厂-厂-厂房,工厂,2
g1073 办理-手续-姓名,姓名,2
g8 城-置业-湾,置业,0
g784 巴菲特-芒格-撒,巴菲特,2
g421 事项-申请-收到,申请,1
g1202 大数据-云-云计算,大数据,0
g374 工作-内部-团队,团队,1
g455 授人-以鱼-稳中求胜,帮助,2
g65 增-增发-定增,增发,1
g951 2017-2016-显示,显示,2
g602 山西-煤矿-内蒙,煤矿,0
g661 新疆-云南-西藏,云南,2
g306 个点-还好-抄,抄,2
g994 重点-提出-改革,改革,1
g363 国家队-护盘-救,护盘,1
g422 发行价-首日-招股,发行价,1
g944 分享-赞-转发,分享,2
g157 惊喜-君-小伙伴,惊喜,2
g316 治-吃药-感冒,治病,2
g10 画-一目了然-标注,标注,2
g902 跌停板-大单-集合竞价,大单,1
g358 比特币-交易平台-加密货币,比特币,0
g800 大盘-回落-开盘,回落,1
g320 指标-测算-大于,大于,1
g888 海润光伏-匹凸匹-武昌鱼,鱼,2
g476 说话-忽悠-没用,忽悠,2
g48 億-股東-萬,股东,2
g700 水-水位-冷水,水,2
g186 收藏-钻石-珠宝,珠宝,0
g837 球-棒球-泰德,球,2
g561 黑色-红色-颜色,颜色,2
g758 宽客-江南愤青-冯柳,冯柳,1
g291 挖-捡-扔,捡,2
g150 传播-央视-节目,节目,2
g312 游资-龙虎榜-席位,席位,1
g520 视频-直播-今日头条,直播,0
g1228 周小川-易纲-刘鹤,易纲,1
g318 订立-刊发-附属公司,刊发,0
g780 萨-努-裔,,2
g1045 看好-票-低估,低估,1
g538 吨-产量-万吨,产量,2
g1102 动-不住-猛,动,2
g813 宁德-银隆-玛,宁德,0
g1040 严厉-惩罚-严肃,惩罚,2
g296 本文-授权-转载,授权,2
g151 言之不预-勿谓-咎,生气,2
g244 眼里-面子-屌丝,眼里,2
g1190 客户服务-网址-热线,热线,2
g890 设备-智能-软件,智能,0
g697 存放-结算-清算,结算,1
g373 网上-查-答,问答,2
g777 数据-分析-信息,分析,1
g205 光纤-亨通-光缆,光纤,0
g795 西湖-岭南-大理,西湖,2
g447 枫红-奕奕-天雨,枫叶,2
g534 实验-研制-量子,量子,0
g689 手机-华为-小米,手机,0
g32 iphone-苹果公司-apple,iphone,0
g789 制造-工业-电子,工业,0
g192 内容-字-修改,修改,2
g785 缴纳-税务-税款,纳税,1
g44 美丽-风景-繁华,风景,0
g1118 适应症-靶向-抑制剂,适应症,0
g1224 吉-○-凶,凶,2
g1229 慧网通达-南麟电子-佳保安全,通达,0
g611 税-税收-征收,税收,1
g732 出行-滴滴-共享单车,出行,0
g707 评论-回复-帖子,评论,2
g347 账户-开通-额度,开通,0
g67 成本-生产-投入,成本,1
g791 开放-外资-放开,开放,0
g1025 创始人-创业-马云,创业,0
g450 补发-zqsbxsb-汉尧环保,补发,2
g767 生长-种子-土壤,种子,0
g838 互联网金融-合规-p2p,互联网金融,0
g1065 东部-南北-一带,一带,2
g1089 反弹-震荡-回调,回调,1
g298 中华-天地-曙光,天地,0
g1050 虚假-言论-舆论,言论,2
g87 人口-居民-就业,就业,2
g278 分析师-首席-宏观,首席,0
g1167 喝-一瓶-瓶,一瓶,2
g1215 教育-在线教育-教育领域,教育,0
g132 骂人-三观-看热闹,三观,2
g449 台-电脑-机,电脑,0
g451 爆发-纷纷-集体,集体,2
g232 送-免费-优惠,免费,2
g55 发动机-变速箱-油耗,发动机,0
g199 简单-喜欢-理解,喜欢,2
g379 型-级-级别,级别,2
g876 功能-更新-客户端,更新,2
g181 英语-教学-教师,教学,0
g575 k线-阳线-阴线,k线,1
g15 蓝图新材-中纸在线-浩博新材,新材,0
g431 内存-存储器-嵌入式,内存,0
g853 買-係-現在,现在,2
g620 认购-终止-到期日,认购,1
g983 跌-涨-大跌,跌,1
g143 开源节流-节流-节支,节流,1
g558 缺货-调涨-mlcc,调涨,1
g892 车-一辆-自行车,自行车,0
g494 [心心]-[看多]-[抄底],看多,1
g706 煮-放入-适量,适量,2
g576 瞭解-迴-蕩,回荡,2
g877 鼎讯-欧泰科-三川田,,
g608 管治-翌日-地產,地产,0
g370 画面-高清-像素,高清,2
g545 数学-考试-考,考试,2
g1258 德国-法国-伦敦,法国,2
g392 綫-面積-産,面值,1
g155 欧元-港币-约合,欧元,1
g1246 停牌-重组-复牌,重组,1
g440 春节-新年-过年,春节,2
g806 运输-货运-集装箱,货运,0
g1057 米-桥梁-铺设,铺设,0
g1149 任职-从业-兼任,从业,2
g848 医药-复星-恒瑞,医药,0
g855 性能-材质-厚度,材质,0
g1211 诉讼-起诉-纠纷,起诉,1
g587 000.-尖头-率末,尖头,2
g512 装修-地板-家居,家居,0
g334 照片-标识-名片,表识,0
g4 深圳-广州-深圳市,广州,2
g225 年度报告-审计-审计报告,审计,1
g26 美的-空调-电器,空调,0
g338 保密-情报-机密,情报,2
g35 大豆-玉米-小麦,大豆,0
g383 太极-徒弟-流派,徒弟,2
g755 周年-庆祝-纪念,纪念,2
g24 格力-三聚-天马,天马,0
g1085 联系人-业务联系-刘晨,联系人,2
g279 恒指-全日-牛证,全日,1
g211 架构师-新智元-达摩院,架构师,0
g1257 服装-纺织-服饰,服装,0
g816 蛋卷斗牛10后育儿-csi106-蛋卷斗牛二八轮动plus,基金,1
g1112 发-拿到-排队,排队,2
g524 人民币-币种-外币,币种,1
g360 產品-牛熊证-剩餘,产品,0
g515 收購-項-協議,收购,1
g305 成立-设立-变更,变更,1
g40 製-複-生產,生产,1
g469 计算-算-假设,计算,1
g174 三菱-株式会社-杜邦,株式会社,0
g793 碰撞-刹车-车内,汽车零件,0
g933 经济学家-经济学-院长,经济学,1
g1193 查明-亲属-余元,查明,2
g1078 均线-macd-金叉,均线,1
g571 沙特-沙特阿拉伯-卡塔尔,沙特,2
g332 地球-宇宙-太空,宇宙,2
g772 耶伦-鲍威尔-德拉,耶伦,2
g1000 新加坡-巴西-泰国,巴西,2
g395 本书-英文版-著作,著作,2
g411 船舶-航运-海运,航运,0
g814 毕业-高中-名校,毕业,2
g863 文件-下载-更正,更正,2
g573 理论-科学-哲学,科学,2
g978 决议-临时股东-第一届,决议,1
g1113 监管机构-指控-联邦,指控,1
g340 狗-头-猪,猪,0
g769 報告-進行-並,报告,1
g158 五年-十-十个,数字,2
g676 铝-材-合金,材料,0
g1145 李嘉诚-长实地产-长实,长实,0
g619 外汇交易-经纪商-金融交易,金融交易,1
g264 硬件-讯飞-开放平台,硬件,0
g147 库存-供需-现货,现货,1
g1042 生态环境-综合治理-流域,综合治理,0
g584 资料-统计-图,资料,2
g1181 每经-实习-发自,实习,2
g1310 匯丰-法兴-八九,八九,2
g976 概念-炒-炒作,炒作,1
g164 sunnybank-newstead-paddy,其他,2
g977 纸-造纸-废纸,纸,0
g368 经历-十年-回到,经历,2
g398 钢-钢铁行业-电解铝,钢铁,0
g342 fda-pharma-诺华,诺华,0
g859 總裁-記者-公室,办公室,2
g29 公式-变量-线性,公式,2
g594 左传-匮-危亡,危亡,2
g725 实务-项目融资-法律事务,实务,2
g1188 正式-启动-迎来,启动,2
g847 天线-元器件-器件,元器件,0
g330 声音-一声-声,声音,2
g173 上台-美帝-川普,美帝,1
g993 治疗-肿瘤-癌症,治疗,0
g852 东京-大阪-福岛,东京,2
g760 收购-合并-要约,要约,2
g259 诗-明月-清风,明月,2
g361 医疗器械-血液-仪器,仪器,0
g1018 说明书-约定-信息披露,约定,2
g382 部副-总行-历任,总行,2
g956 死亡-事故-受伤,事故,2
g1232 网-获悉-新华社,新华社,0
g365 基金-经理-华夏,经理,1
g1115 置信-此类情况-日篇,置信,2
g485 集合-第一期-第二期,集合,2
g796 坏人-恶-倾家荡产,坏人,2
